,number,type,bbox_x,lines,width,height,ext,colorspace,xres,yres,bpc,transform,size_x,image,__x,line_no,idx,idx_val,size_y,flags,font,color,ascender,descender,text,origin,bbox_y,__y,span_no,x0,y0,x1,y1
0,0,0,"(146.63999938964844, 82.23709106445312, 281.4731140136719, 99.0181884765625)","{'spans': [{'size': 13.100000381469727, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': 'INDEX SPEGIERUM', 'origin': (146.63999938964844, 94.79998779296875), 'bbox': (146.63999938964844, 82.23709106445312, 281.4731140136719, 99.0181884765625)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (146.63999938964844, 82.23709106445312, 281.4731140136719, 99.0181884765625)}",,,,,,,,,,,number,0,0,0,13.100000381469727,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,INDEX,"(146.63999938964844, 94.79998779296875)","(146.63999938964844, 82.23709106445312, 281.4731140136719, 99.0181884765625)",idx,0,146.63999938964844,82.23709106445312,281.4731140136719,99.0181884765625
1,0,0,"(146.63999938964844, 82.23709106445312, 281.4731140136719, 99.0181884765625)","{'spans': [{'size': 13.100000381469727, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': 'INDEX SPEGIERUM', 'origin': (146.63999938964844, 94.79998779296875), 'bbox': (146.63999938964844, 82.23709106445312, 281.4731140136719, 99.0181884765625)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (146.63999938964844, 82.23709106445312, 281.4731140136719, 99.0181884765625)}",,,,,,,,,,,number,0,0,0,13.100000381469727,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,SPEGIERUM,"(146.63999938964844, 94.79998779296875)","(146.63999938964844, 82.23709106445312, 281.4731140136719, 99.0181884765625)",idx,0,146.63999938964844,82.23709106445312,281.4731140136719,99.0181884765625
2,1,0,"(115.44000244140625, 131.1444091796875, 121.17720031738281, 141.90481567382812)","{'spans': [{'size': 8.399999618530273, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': 'A', 'origin': (115.44000244140625, 139.20001220703125), 'bbox': (115.44000244140625, 131.1444091796875, 121.17720031738281, 141.90481567382812)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (115.44000244140625, 131.1444091796875, 121.17720031738281, 141.90481567382812)}",,,,,,,,,,,number,0,1,1,8.399999618530273,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,A,"(115.44000244140625, 139.20001220703125)","(115.44000244140625, 131.1444091796875, 121.17720031738281, 141.90481567382812)",idx,0,115.44000244140625,131.1444091796875,121.17720031738281,141.90481567382812
3,3,0,"(42.47999954223633, 153.70440673828125, 114.12600708007812, 164.46481323242188)","{'spans': [{'size': 8.549408912658691, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': 'cilicica Ant. et', 'origin': (42.47999954223633, 161.760009765625), 'bbox': (42.47999954223633, 153.70440673828125, 99.59027099609375, 164.46481323242188)}, {'size': 8.565569877624512, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' Ky', 'origin': (99.59027099609375, 161.760009765625), 'bbox': (99.59027099609375, 153.70440673828125, 114.12600708007812, 164.46481323242188)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.47999954223633, 153.70440673828125, 114.12600708007812, 164.46481323242188)}",,,,,,,,,,,number,0,2,2,8.549408912658691,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,cilicica,"(42.47999954223633, 161.760009765625)","(42.47999954223633, 153.70440673828125, 99.59027099609375, 164.46481323242188)",idx,0,42.47999954223633,153.70440673828125,99.59027099609375,164.46481323242188
4,3,0,"(42.47999954223633, 153.70440673828125, 114.12600708007812, 164.46481323242188)","{'spans': [{'size': 8.549408912658691, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': 'cilicica Ant. et', 'origin': (42.47999954223633, 161.760009765625), 'bbox': (42.47999954223633, 153.70440673828125, 99.59027099609375, 164.46481323242188)}, {'size': 8.565569877624512, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' Ky', 'origin': (99.59027099609375, 161.760009765625), 'bbox': (99.59027099609375, 153.70440673828125, 114.12600708007812, 164.46481323242188)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.47999954223633, 153.70440673828125, 114.12600708007812, 164.46481323242188)}",,,,,,,,,,,number,0,2,2,8.549408912658691,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,Ant.,"(42.47999954223633, 161.760009765625)","(42.47999954223633, 153.70440673828125, 99.59027099609375, 164.46481323242188)",idx,0,42.47999954223633,153.70440673828125,99.59027099609375,164.46481323242188
5,3,0,"(42.47999954223633, 153.70440673828125, 114.12600708007812, 164.46481323242188)","{'spans': [{'size': 8.549408912658691, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': 'cilicica Ant. et', 'origin': (42.47999954223633, 161.760009765625), 'bbox': (42.47999954223633, 153.70440673828125, 99.59027099609375, 164.46481323242188)}, {'size': 8.565569877624512, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' Ky', 'origin': (99.59027099609375, 161.760009765625), 'bbox': (99.59027099609375, 153.70440673828125, 114.12600708007812, 164.46481323242188)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.47999954223633, 153.70440673828125, 114.12600708007812, 164.46481323242188)}",,,,,,,,,,,number,0,2,2,8.549408912658691,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,et,"(42.47999954223633, 161.760009765625)","(42.47999954223633, 153.70440673828125, 99.59027099609375, 164.46481323242188)",idx,0,42.47999954223633,153.70440673828125,99.59027099609375,164.46481323242188
6,3,0,"(42.47999954223633, 153.70440673828125, 114.12600708007812, 164.46481323242188)","{'spans': [{'size': 8.549408912658691, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': 'cilicica Ant. et', 'origin': (42.47999954223633, 161.760009765625), 'bbox': (42.47999954223633, 153.70440673828125, 99.59027099609375, 164.46481323242188)}, {'size': 8.565569877624512, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' Ky', 'origin': (99.59027099609375, 161.760009765625), 'bbox': (99.59027099609375, 153.70440673828125, 114.12600708007812, 164.46481323242188)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.47999954223633, 153.70440673828125, 114.12600708007812, 164.46481323242188)}",,,,,,,,,,,number,0,2,2,8.565569877624512,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,Ky,"(99.59027099609375, 161.760009765625)","(99.59027099609375, 153.70440673828125, 114.12600708007812, 164.46481323242188)",idx,1,99.59027099609375,153.70440673828125,114.12600708007812,164.46481323242188
7,5,0,"(28.559999465942383, 163.30438232421875, 93.46365356445312, 174.06478881835938)","{'spans': [{'size': 8.48757553100586, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': 'Acanthophyllum', 'origin': (28.559999465942383, 171.3599853515625), 'bbox': (28.559999465942383, 163.30438232421875, 93.46365356445312, 174.06478881835938)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (28.559999465942383, 163.30438232421875, 93.46365356445312, 174.06478881835938)}",,,,,,,,,,,number,0,3,3,8.48757553100586,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,Acanthophyllum,"(28.559999465942383, 171.3599853515625)","(28.559999465942383, 163.30438232421875, 93.46365356445312, 174.06478881835938)",idx,0,28.559999465942383,163.30438232421875,93.46365356445312,174.06478881835938
8,7,0,"(42.2400016784668, 172.90438842773438, 151.875244140625, 183.664794921875)","{'spans': [{'size': 8.399999618530273, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': 'kurdicum Boiss. et', 'origin': (42.2400016784668, 180.95999145507812), 'bbox': (42.2400016784668, 172.90438842773438, 113.44059753417969, 183.664794921875)}, {'size': 8.481629371643066, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' Hausskn.', 'origin': (113.44059753417969, 180.95999145507812), 'bbox': (113.44059753417969, 172.90438842773438, 151.875244140625, 183.664794921875)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.2400016784668, 172.90438842773438, 151.875244140625, 183.664794921875)}",,,,,,,,,,,number,0,4,4,8.399999618530273,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,kurdicum,"(42.2400016784668, 180.95999145507812)","(42.2400016784668, 172.90438842773438, 113.44059753417969, 183.664794921875)",idx,0,42.2400016784668,172.90438842773438,113.44059753417969,183.664794921875
9,7,0,"(42.2400016784668, 172.90438842773438, 151.875244140625, 183.664794921875)","{'spans': [{'size': 8.399999618530273, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': 'kurdicum Boiss. et', 'origin': (42.2400016784668, 180.95999145507812), 'bbox': (42.2400016784668, 172.90438842773438, 113.44059753417969, 183.664794921875)}, {'size': 8.481629371643066, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' Hausskn.', 'origin': (113.44059753417969, 180.95999145507812), 'bbox': (113.44059753417969, 172.90438842773438, 151.875244140625, 183.664794921875)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.2400016784668, 172.90438842773438, 151.875244140625, 183.664794921875)}",,,,,,,,,,,number,0,4,4,8.399999618530273,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,Boiss.,"(42.2400016784668, 180.95999145507812)","(42.2400016784668, 172.90438842773438, 113.44059753417969, 183.664794921875)",idx,0,42.2400016784668,172.90438842773438,113.44059753417969,183.664794921875
